수질환경관리 초빙합니다.,"연봉 | 3,300만원 이상",정규 | 주5일,08:00 ~ 18:00,"담당업무 :  오수처리시설, 폐수처리시설 등 유지관리",경력3년 | 학력무관 | 경기도 의정부시 하금로25번길
[퇴직기술인력 중소기업활용] 한국에너지산업기술(주) 기업부설연구소 전기전자 분야 연구원,월급 | 300만원 ~ 320만원,비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  담당업무: 기업부선연구소 전기전자분야 연구원 주요업무: 정부 R&D과제 총괄, 수주, 전력기자재 개발 및 한국전력 기술영업",경력5년 | 대졸(2~3년) | ~ 대졸(4년) 경기도
"오피스텔,상가 설비  경험자 모십니다.",월급 | 200만원 ~ 225만원,정규 | 격일,,"담당업무 :  오피스텔 ,상가 공용부분 시설 관리 ( 다년간 설비 시공 경험자 우대) 오피스텔 ,상가 기계시설,위생설비 관리 소방안전 관리자 2급",경력3년 | 학력무관 | 서울특별시 강서구 금낭화로
[부산 서구/송도/암남동] 건설현장 안전관리 안전감시단 경력 모집,월급 | 265만원 이상,정규 | 주6일,,"담당업무 :  - 건설현장내 안전관리자 보조업무 수행 (안전감시, 안전순찰, 안전관리 업무) - 작업자 근무수칙 준수 여부 확인 및 감시 - 작업 공...",경력 | 학력무관 | 부산광역시 서구 송도해변로
[경기 오산] 건설현장 안전관리 안전감시단 경력 모집,월급 | 270만원 이상,정규 | 주6일,,"담당업무 :  - 건설현장내 안전관리자 보조업무 수행 (안전감시, 안전순찰, 안전관리 업무) - 작업자 근무수칙 준수 여부 확인 및 감시 - 작업 공...",경력 | 학력무관 | 경기도 오산시 황새로
태양광발전 업무 희망자 모십니다. (초보가능/전기기술자우대),월급 | 215만원 ~ 250만원,정규 | 주5일,,"담당업무 :  자연과 미래를 생각하는 신재생에너지전문기업 (주)에이씨에스 입니다. 전기공사, 자동제어공사, 태양광발전장치 직접생산/설계/시공 ...",경력무관 | 학력무관 | 경상북도 구미시 3공단1로
태양광 인허가 담당 기술인력을 모집합니다,"연봉 | 3,000만원 ~ 4,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  태양광 인허가, 에너지관리공단 등록 태양광발전사업 서류",경력무관 | 고졸 | ~ 대졸(4년) 광주광역시
구조기술사 경력자 모집합니다,"연봉 | 3,000만원 ~ 6,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  구조 성능평가 유경험자 ,경력자 비선형 내진성능평가 가능자",경력3년 | 대졸(4년) | ~ 박사 경기도
"작물재배, 관광타운조성 사업 토목초급 구인",월급 | 350만원 ~ 400만원,비정규 | 주6일,,"담당업무 :  - 한옥 체험관광타운 조성 및 운영, 작물재배 - 토목측량, 토목 공사(토목경력 초급, 중급 우대)",경력3년 | 고졸 | ~ 대졸(4년) 전라남도
캐드직원(경력직)모집합니다.,"연봉 | 3,600만원 이상",정규 | 주5일,,"담당업무 :  레이져 컷팅 , 절곡, 전자,자동차 부품제작 , 반도체, 산업설비,조형물 제작시공 하는 업체로서 레이저 판금 전개 설계하는 경력질 설...",경력5년 | 고졸 | ~ 대졸(2~3년) 경기도
KTE(케이티이주식회사)  박사급 연구원 모집,월급 | 250만원 ~ 600만원,시간 | (장기),10:00 ~ 17:00,담당업무 :  KTE(케이더블유큐이주식회사) 박사급 연구원 모집 당사 에서는 Al 기술을 적용 한 NDT(비파괴검사) 플랫폼 회사로 거듭나기 위하여 ...,경력3년 | 박사 | 부산광역시 사하구 하신번영로
KTE(케이티이주식회사)  공학계열 기술자 연구원 모집,월급 | 250만원 ~ 600만원,시간 | (장기),10:00 ~ 17:00,담당업무 :  당사 에서는 Al 기술을 적용 한 NDT(비파괴검사) 플랫폼 회사로 거듭나기 위하여 아래와 같이 충원하고자 합니다. 1. 모집분야 ㅡ비파...,경력무관 | 박사 | 부산광역시 사하구 하신번영로
