화물차  운전원 모집,"연봉 | 2,800만원 ~ 3,500만원",정규 | 주5일,,담당업무 :  철강재(자재) 운송(5톤차량),경력3년 | 학력무관 | 경기도 김포시 양촌읍
"특수구급차,영화촬영,운동경기 의료지원 운전직 채용",월급 | 224만원 이상,비정규 | 주6일,,담당업무 :  - 구급차 앰블런스 운전업무/ 영화촬영차량. 의료지원 ( 경기일정으로 인해 1명 더 증원하기 위하여 채용합니다.),신입 | 학력무관 | 전라북도 전주시 덕진구
영업/판매관리 사원 모집,월급 | 250만원 이상,정규 | 주5일,08:30 ~ 17:30,담당업무 :  - 자사 건축자재 영업 - 2.5톤 탑차 운전 가능한자 - 근무시간 :(월~금) 08:30~17:30 - 배수용품(유가 .트랜치.) 영업 유경험자 우...,경력무관 | 학력무관 | 대구광역시 북구 침산로67길
동국제강 셔틀버스(45인승) 운전원-연수동노선(경력자),월급 | 206만원 이상,비정규 | 주5일,,담당업무 :  <동국제강 셔틀버스 운전원 모집> * 업무: 셔틀버스 운전(45인승/연수동 노선) * 만수동 인근 거주자 우대 * 근무시간: 04:50~...,경력2년 | 학력무관 | 인천광역시 동구 중봉대로
카카오T블루 (카카오택시) 기사분을 모집합니다.,월급 | 200만원 ~ 250만원,정규 | 주6일,,"담당업무 :  카카오T블루 (카카오택시) 운전기사분을 모집합니다 경력, 나이, 성별 무관하며 카카오에서 오는 택시 콜만으로 운행하므로 처음 일하...",경력무관 | 학력무관 | 서울특별시 강서구 강서로
영업부 납품영업 사원 채용,"연봉 | 3,000만원 이상",정규 | 주5일,08:00 ~ 17:00,"담당업무 :  1. 직무 요구사항 트럭 운전 가능자(3.5톤~5톤) (업무 수월하며, 17:00 정시퇴근 가능) 2. 급여사항 세금 공제 전 급여 입니다. 성과...",경력1년 | 학력무관 | 경기도 화성시 마도면
[태안농협하나로마트 기배점] 두부파트 경력무관 정규직 채용,월급 | 210만원 ~ 230만원,정규 | 주6일,,"담당업무 :  * 태안농협 하나로마트 기배점 두부코너 용역 직원구인 * 경력무관 초보가능 - 두부코너(두부제조, 매장관리, 고객응대) - 주말포함 ...",경력무관 | 학력무관 | 경기도 화성시 기안남로
바리스타 모집(2명),"시급 | 8,590원 ~ 8,590원",비정규 | 주5일,,"담당업무 :  달성시니어클럽 바리스타 모집 모집인원 : 2명(바리스타 자격증 필수) 근무시간 : 09:00~18:00(2-3시간씩 교대근무, 주5일) 근무예정...",경력무관 | 고졸 | 대구광역시 달성군 현풍읍
구리 자동차 루프박스 매장 설치 및 매장관리 매니져,"연봉 | 2,600만원 ~ 3,300만원",정규 | 주6일,,담당업무 :  1. 업체명 : (주)이구아나코리아 2. 주소 - 본사 : 경기도 광주시 초월읍 용수리 276-4 - 인천 직영매장 : 인천광역시 서구 가좌동 48...,경력무관 | 고졸 | ~ 대졸(4년) 경기도
일산서구 자동차 루프박스 매장 설치 및 매장관리 매니져,"연봉 | 2,600만원 ~ 3,300만원",정규 | 주6일,,담당업무 :  1. 업체명 : (주)이구아나코리아 2. 주소 - 본사 : 경기도 광주시 초월읍 용수리 276-4 - 인천 직영매장 : 인천광역시 서구 가좌동 48...,경력무관 | 고졸 | ~ 대졸(4년) 경기도
기간제 자동차부품 지게차 인원 모집(시니어/장년층 가능),"시급 | 11,000원 ~ 11,000원",비정규 | 주5일,,담당업무 :  기간제 자동차부품 지게차 인원 모집 (시니어/장년층 가능) *계약 기간안내* -회사 내부 사정에 따라 변경될 수 있습니다. -1년 이내...,경력무관 | 학력무관 | 울산광역시 북구 모듈화산업로
영업담당자 모집(디지털도어락 및 비디오폰),"연봉 | 4,000만원 ~ 6,000만원",비정규 | 주5일,09:00 ~ 18:00,담당업무 :  ◆ 생산품목 - 디지털도어락 및 비디오폰 외 ◆ 주요업무 - 디지털도어락 신규개척영업(국내) ◆ 자격요건 - 동종업계 경력자 - 단기...,경력3년 | 학력무관 | 경기도 양주시 청담로39번길
[인천동구]가스충전소 자동차충전원-고압가스양성교육(충전시설)이수자,월급 | 210만원 ~ 210만원,정규 | 주6일,,담당업무 :  * 업무 : LPG자동차 충전업무 * 근무시간 : 3교대 스케줄근무 - 주2회 휴무 오전조 06:00-14:00 / 오후조 14:00-22:00 / ...,경력무관 | 학력무관 | 인천광역시 동구 중봉대로
"용산구 (주)태영교통 운전원 모집 - 버스운전경력자 필수, 버스운전면허 자격증 필수","연봉 | 3,000만원 이상",비정규 | 주6일,,"담당업무 :  - 마을버스운전 (버스운전 경력자, 버스운전 면허 소지자) 경력자우대 - 25인승 버스",경력1년 | 학력무관 | 서울특별시 용산구 신흥로
마을버스 운전원 모집,월급 | 270만원 이상,비정규 | 격일,,담당업무 :  - 동탄27번 / 동탄 17번 마을버스 운행 - 노선이 복잡하지 않아 운전하시기 편합니다 - 3개월수습기간 있음 - 근면 성실하신 마을버스...,경력1년 | 학력무관 | 경기도 화성시 병점중앙로
마을버스 운전원 모집,월급 | 270만원 이상,정규 | 주6일,,"담당업무 :  - 동탄 H2번, 5번,6번 - 신규노선을 위한 모집인원 확대! - 노선이 복잡하지 않아 운전하시기 편합니다 - 1년이상 버스경력 운행 경험...",경력1년 | 학력무관 | 경기도 화성시 병점중앙로
진아교통 야간 주차관리 및 경비업무 채용,"시급 | 8,590원 이상",시간 | (단기),,담당업무 :  - 회사시설 내 야간경비 - 차고지 내 주차관리 (대형면허필수),경력무관 | 학력무관 | 서울특별시 노원구 마들로
마을버스 운전원 모집,월급 | 250만원 이상,정규 | 주6일,,담당업무 :  - 수원 21번 마을버스 운행 - 노선이 복잡하지 않아 운전하시기 편합니다 - 3개월수습기간 있음 - 근면 성실하신 마을버스 운전기사분...,경력1년 | 학력무관 | 경기도 수원시 권선구
"노인주간보호센터 (해평면,산동읍, 옥계동)(김천시,  아포읍) 거주 운전원 모집","시급 | 8,590원 이상",시간 | (단기),,담당업무 :  1. 채용분야 및 자격조건 - 구분 : 노인주간보호센터 운전원 1명 (계약직) - 자격 : 운전면허증 소지자(뒷자리삭제)로 - 자차 운전자 ...,경력무관 | 학력무관 | 경상북도 구미시 야은로
용접사상원 및 보조원 모집,"시급 | 8,590원 이상",정규 | 주5일,08:30 ~ 17:30,"담당업무 :  용접 사상원 및 보조원 모집사항입니다. 용접 보조 및 용접 후 제품의 사상공 모집합니다 (주업부 : 용접 보조, 사상) 오전 8시30분부...",경력무관 | 학력무관 | 충청남도 아산시 음봉면
창고관리 및 배송기사 모집,월급 | 180만원 ~ 180만원,정규 | 주5일,08:00 ~ 18:00,"담당업무 :  자재 운반, 관리 / 지게차운전가능자",경력무관 | 학력무관 | 경기도 남양주시 고산로
"LED조명기구,CCTV,주차관제 MAS(조달 다수공급자)관련 영업경력자 모집",월급 | 300만원 이상,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  1. 조달청 나라장터 MAS(다수 공급자 계약) 업무 2. 지자체등 공공기관 영업 3. 자재구매관리, 생산관리, 현장관리 4. 당사는 여성장...",경력5년 | 학력무관 | 경기도 김포시 통진읍
다대주유소  주유원을 모집,"시급 | 8,590원 ~ 8,590원",정규 | 주6일,06:00 ~ 12:00,담당업무 :  청운면 다대주유소 주유원을 모집합니다. - 주유소로 셀프주유소(자동세차장) - 셀프주유를 힘들어 하시는 분들에게만 써비스를 제공...,경력무관 | 학력무관 | 경기도 양평군 청운면
하북농협 하나로마트 소분 모집,월급 | 186만원 ~ 186만원,비정규 | 주5일,09:00 ~ 18:00,담당업무 :  * 하북면 하북농협 하나로마트 * 상품 소분업무 등 * 농산물 상품진열 및 관리 * 농산물 판매촉진 및 홍보업무 * 주5일 8시간씩 근무 ...,경력무관 | 학력무관 | 경상남도 양산시 하북면
통근버스(25인승) 시간제 운전원 채용,"시급 | 9,000원 ~ 9,500원",시간 | (장기),,담당업무 :  통근버스 운전원 모집(25인승) - 용연공단 내 기업체 신입 가능 나이제한없음 운행 노선 : 울산광역시 남구 처용로487번길 18-30 (성...,경력무관 | 학력무관 | 울산광역시 중구 학성로
화물 운전 및 지게차 운전(단순노무),"연봉 | 3,000만원 이상",정규 | 주5일,08:30 ~ 17:30,"담당업무 :  화물차 4.5톤 운전, 3톤 미만 지게차 운전, 단순노무",경력1년 | 고졸 | ~ 대졸(4년) 충청남도
컨테이너 출하 작업 및 하역 적재 작업자 모집,월급 | 198만원 ~ 205만원,정규 | 주5일,,담당업무 :  금고 수출 컨테이너 적재 작업 내수 택배 물류작업 외 창고 관리 등 지게차 운전은 전체 업무 중 20%,경력무관 | 학력무관 | 경기도 파주시 월롱면
